Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
1000.0,1000,0.000025,25.0,3.75,1.25
2100.0,1100,0.042521,72.4625,10.869375,3.6231250000000004
3300.0,1200,0.078916,121.728673,18.25930095,6.08643365
4600.0,1300,0.112933,175.705174,26.3557761,8.7852587
6000.0,1400,0.145955,235.407492,35.3111238,11.7703746
7500.0,1500,0.1786,301.364024,45.20460359999999,15.068201199999999
9100.0,1600,0.211192,373.925933,56.088889949999995,18.69629665
10800.0,1700,0.243915,453.36315,68.0044725,22.668157500000003
12600.0,1800,0.276885,539.902064,80.9853096,26.995103200000003
14500.0,1900,0.310175,633.742838,95.0614257,31.6871419
16500.0,2000,0.343834,735.068336,110.2602504,36.753416800000004
18600.0,2100,0.377892,844.049125,126.60736874999999,42.202456250000004
20800.0,2200,0.412372,960.846501,144.12697515,48.04232505
23100.0,2300,0.447287,1085.614425,162.84216375,54.28072125
25500.0,2400,0.482647,1218.500819,182.77512285,60.92504095000001
28000.0,2500,0.518455,1359.648486,203.9472729,67.9824243
30600.0,2600,0.554715,1509.195784,226.3793676,75.4597892
33300.0,2700,0.591427,1667.277129,250.09156935,83.36385645000001
36100.0,2800,0.62859,1834.0234,275.10350999999997,91.70117
39000.0,2900,0.666203,2009.562253,301.43433795,100.47811265000001
42000.0,3000,0.704261,2194.018386,329.10275790000003,109.70091930000001
45100.0,3100,0.742763,2387.513759,358.12706384999996,119.37568795
48300.0,3200,0.781704,2590.16778,388.525167,129.50838900000002
51600.0,3300,0.821079,2802.09747,420.3146205,140.10487350000002
55000.0,3400,0.860886,3023.417602,453.5126403,151.1708801
58500.0,3500,0.901119,3254.24083,488.1361245,162.71204150000003
62100.0,3600,0.941774,3494.677799,524.20166985,174.73388995000002
65800.0,3700,0.982846,3744.837248,561.7255872,187.2418624
69600.0,3800,1.024331,4004.8261,600.723915,200.241305
73500.0,3900,1.066224,4274.74955,641.2124325000001,213.73747750000004
77500.0,4000,1.108521,4554.711138,683.2066706999999,227.7355569
81600.0,4100,1.151217,4844.812821,726.7219231500001,242.24064105000002
85800.0,4200,1.194308,5145.155039,771.77325585,257.25775195
90100.0,4300,1.237789,5455.836777,818.37551655,272.79183885000003
94500.0,4400,1.281657,5776.955618,866.5433426999999,288.84778090000003
99000.0,4500,1.325906,6108.607802,916.2911703000001,305.4303901
103600.0,4600,1.370533,6450.888269,967.6332403499999,322.54441345000004
108300.0,4700,1.415534,6803.890709,1020.58360635,340.19453545000005
113100.0,4800,1.460904,7167.707606,1075.1561408999999,358.3853803
118000.0,4900,1.506641,7542.430279,1131.36454185,377.12151395
123000.0,5000,1.552739,7928.148917,1189.22233755,396.40744585000004
128100.0,5100,1.599196,8324.952623,1248.7428934499999,416.24763114999996
133300.0,5200,1.646007,8732.929441,1309.93941615,436.64647205000006
138600.0,5300,1.69317,9152.166395,1372.82495925,457.60831975
144000.0,5400,1.74068,9582.749516,1437.4124273999998,479.1374758
149500.0,5500,1.788534,10024.763874,1503.7145811,501.2381937
